time,temperature,current,status,formatted
21:49:18,38.47,0.7,NORMAL,21:49:18 | Temp: 38.47 | Current: 0.70 | Status: NORMAL
21:49:20,31.65,0.19,NORMAL,21:49:20 | Temp: 31.65 | Current: 0.19 | Status: NORMAL
21:49:22,35.34,0.49,NORMAL,21:49:22 | Temp: 35.34 | Current: 0.49 | Status: NORMAL
21:49:24,33.51,0.46,NORMAL,21:49:24 | Temp: 33.51 | Current: 0.46 | Status: NORMAL
21:49:26,31.13,2.48,HIGH,21:49:26 | Temp: 31.13 | Current: 2.48 | Status: HIGH
21:49:28,34.64,2.29,HIGH,21:49:28 | Temp: 34.64 | Current: 2.29 | Status: HIGH
21:49:30,25.97,0.06,NORMAL,21:49:30 | Temp: 25.97 | Current: 0.06 | Status: NORMAL
21:49:32,28.75,1.03,LOW,21:49:32 | Temp: 28.75 | Current: 1.03 | Status: LOW
21:49:34,31.14,0.58,NORMAL,21:49:34 | Temp: 31.14 | Current: 0.58 | Status: NORMAL
21:49:36,35.19,1.29,LOW,21:49:36 | Temp: 35.19 | Current: 1.29 | Status: LOW
21:49:38,26.45,0.38,NORMAL,21:49:38 | Temp: 26.45 | Current: 0.38 | Status: NORMAL
21:49:40,37.55,0.69,NORMAL,21:49:40 | Temp: 37.55 | Current: 0.69 | Status: NORMAL
21:49:42,35.41,0.03,NORMAL,21:49:42 | Temp: 35.41 | Current: 0.03 | Status: NORMAL
21:49:44,34.18,3.17,HIGH,21:49:44 | Temp: 34.18 | Current: 3.17 | Status: HIGH
21:49:46,29.46,0.78,NORMAL,21:49:46 | Temp: 29.46 | Current: 0.78 | Status: NORMAL
21:49:48,25.61,0.41,NORMAL,21:49:48 | Temp: 25.61 | Current: 0.41 | Status: NORMAL
21:49:50,33.31,0.11,NORMAL,21:49:50 | Temp: 33.31 | Current: 0.11 | Status: NORMAL
21:49:52,24.71,0.46,NORMAL,21:49:52 | Temp: 24.71 | Current: 0.46 | Status: NORMAL
21:49:54,36.33,0.3,NORMAL,21:49:54 | Temp: 36.33 | Current: 0.30 | Status: NORMAL
21:49:56,30.61,1.26,LOW,21:49:56 | Temp: 30.61 | Current: 1.26 | Status: LOW
21:49:58,26.25,0.48,NORMAL,21:49:58 | Temp: 26.25 | Current: 0.48 | Status: NORMAL
21:50:00,35.14,0.04,NORMAL,21:50:00 | Temp: 35.14 | Current: 0.04 | Status: NORMAL
21:50:02,38.46,3.18,HIGH,21:50:02 | Temp: 38.46 | Current: 3.18 | Status: HIGH
21:50:04,36.13,1.42,LOW,21:50:04 | Temp: 36.13 | Current: 1.42 | Status: LOW
21:50:06,29.88,0.06,NORMAL,21:50:06 | Temp: 29.88 | Current: 0.06 | Status: NORMAL
21:50:08,27.62,0.05,NORMAL,21:50:08 | Temp: 27.62 | Current: 0.05 | Status: NORMAL
21:50:10,37.24,0.79,NORMAL,21:50:10 | Temp: 37.24 | Current: 0.79 | Status: NORMAL
21:50:12,27.93,0.64,NORMAL,21:50:12 | Temp: 27.93 | Current: 0.64 | Status: NORMAL
21:50:14,26.38,1.26,LOW,21:50:14 | Temp: 26.38 | Current: 1.26 | Status: LOW
21:50:16,34.44,0.78,NORMAL,21:50:16 | Temp: 34.44 | Current: 0.78 | Status: NORMAL
21:50:18,26.15,0.47,NORMAL,21:50:18 | Temp: 26.15 | Current: 0.47 | Status: NORMAL
21:50:20,38.32,0.4,NORMAL,21:50:20 | Temp: 38.32 | Current: 0.40 | Status: NORMAL
21:50:22,24.58,1.85,LOW,21:50:22 | Temp: 24.58 | Current: 1.85 | Status: LOW
21:50:24,28.65,1.66,LOW,21:50:24 | Temp: 28.65 | Current: 1.66 | Status: LOW
21:50:26,33.03,0.02,NORMAL,21:50:26 | Temp: 33.03 | Current: 0.02 | Status: NORMAL
21:50:28,35.22,2.73,HIGH,21:50:28 | Temp: 35.22 | Current: 2.73 | Status: HIGH
21:50:30,36.57,0.35,NORMAL,21:50:30 | Temp: 36.57 | Current: 0.35 | Status: NORMAL
21:50:32,28.3,0.53,NORMAL,21:50:32 | Temp: 28.30 | Current: 0.53 | Status: NORMAL
21:50:34,30.59,1.83,LOW,21:50:34 | Temp: 30.59 | Current: 1.83 | Status: LOW
21:50:36,26.35,0.56,NORMAL,21:50:36 | Temp: 26.35 | Current: 0.56 | Status: NORMAL
21:50:38,37.6,0.14,NORMAL,21:50:38 | Temp: 37.60 | Current: 0.14 | Status: NORMAL
21:50:40,27.98,3.11,HIGH,21:50:40 | Temp: 27.98 | Current: 3.11 | Status: HIGH
21:50:42,27.02,0.47,NORMAL,21:50:42 | Temp: 27.02 | Current: 0.47 | Status: NORMAL
21:50:44,27.86,2.93,HIGH,21:50:44 | Temp: 27.86 | Current: 2.93 | Status: HIGH
21:50:46,30.99,0.39,NORMAL,21:50:46 | Temp: 30.99 | Current: 0.39 | Status: NORMAL
21:50:48,31.14,0.63,NORMAL,21:50:48 | Temp: 31.14 | Current: 0.63 | Status: NORMAL
21:50:50,33.06,0.01,NORMAL,21:50:50 | Temp: 33.06 | Current: 0.01 | Status: NORMAL
21:50:52,27.54,0.87,NORMAL,21:50:52 | Temp: 27.54 | Current: 0.87 | Status: NORMAL
21:50:54,32.76,1.89,LOW,21:50:54 | Temp: 32.76 | Current: 1.89 | Status: LOW
21:50:56,38.47,0.59,NORMAL,21:50:56 | Temp: 38.47 | Current: 0.59 | Status: NORMAL
21:50:58,25.01,2.06,HIGH,21:50:58 | Temp: 25.01 | Current: 2.06 | Status: HIGH
21:51:00,30.49,1.3,LOW,21:51:00 | Temp: 30.49 | Current: 1.30 | Status: LOW
21:51:02,33.82,3.35,HIGH,21:51:02 | Temp: 33.82 | Current: 3.35 | Status: HIGH
21:51:04,34.63,0.66,NORMAL,21:51:04 | Temp: 34.63 | Current: 0.66 | Status: NORMAL
21:51:06,26.39,1.77,LOW,21:51:06 | Temp: 26.39 | Current: 1.77 | Status: LOW
21:51:08,33.41,0.61,NORMAL,21:51:08 | Temp: 33.41 | Current: 0.61 | Status: NORMAL
21:51:10,32.5,0.59,NORMAL,21:51:10 | Temp: 32.50 | Current: 0.59 | Status: NORMAL
21:51:12,26.84,3.42,HIGH,21:51:12 | Temp: 26.84 | Current: 3.42 | Status: HIGH
21:51:14,26.82,0.69,NORMAL,21:51:14 | Temp: 26.82 | Current: 0.69 | Status: NORMAL
21:51:16,29.81,0.79,NORMAL,21:51:16 | Temp: 29.81 | Current: 0.79 | Status: NORMAL
21:51:18,26.77,1.06,LOW,21:51:18 | Temp: 26.77 | Current: 1.06 | Status: LOW
21:51:20,34.46,1.61,LOW,21:51:20 | Temp: 34.46 | Current: 1.61 | Status: LOW
21:51:22,25.67,0.71,NORMAL,21:51:22 | Temp: 25.67 | Current: 0.71 | Status: NORMAL
21:51:24,34.32,0.29,NORMAL,21:51:24 | Temp: 34.32 | Current: 0.29 | Status: NORMAL
21:51:26,27.9,0.09,NORMAL,21:51:26 | Temp: 27.90 | Current: 0.09 | Status: NORMAL
21:51:28,29.45,1.17,LOW,21:51:28 | Temp: 29.45 | Current: 1.17 | Status: LOW
21:51:30,28.15,2.37,HIGH,21:51:30 | Temp: 28.15 | Current: 2.37 | Status: HIGH
21:51:32,24.69,0.37,NORMAL,21:51:32 | Temp: 24.69 | Current: 0.37 | Status: NORMAL
21:51:34,37.79,0.65,NORMAL,21:51:34 | Temp: 37.79 | Current: 0.65 | Status: NORMAL
21:51:36,31.55,1.74,LOW,21:51:36 | Temp: 31.55 | Current: 1.74 | Status: LOW
21:51:38,35.95,1.69,LOW,21:51:38 | Temp: 35.95 | Current: 1.69 | Status: LOW
21:51:40,34.74,0.35,NORMAL,21:51:40 | Temp: 34.74 | Current: 0.35 | Status: NORMAL
21:51:42,33.91,1.49,LOW,21:51:42 | Temp: 33.91 | Current: 1.49 | Status: LOW
21:51:44,30.23,0.05,NORMAL,21:51:44 | Temp: 30.23 | Current: 0.05 | Status: NORMAL
21:51:46,33.89,0.37,NORMAL,21:51:46 | Temp: 33.89 | Current: 0.37 | Status: NORMAL
21:51:48,34.68,0.15,NORMAL,21:51:48 | Temp: 34.68 | Current: 0.15 | Status: NORMAL
21:51:50,38.24,0.27,NORMAL,21:51:50 | Temp: 38.24 | Current: 0.27 | Status: NORMAL
21:51:52,26.87,0.08,NORMAL,21:51:52 | Temp: 26.87 | Current: 0.08 | Status: NORMAL
21:51:54,31.55,0.43,NORMAL,21:51:54 | Temp: 31.55 | Current: 0.43 | Status: NORMAL
21:51:56,32.97,0.67,NORMAL,21:51:56 | Temp: 32.97 | Current: 0.67 | Status: NORMAL
21:51:58,25.17,1.14,LOW,21:51:58 | Temp: 25.17 | Current: 1.14 | Status: LOW
21:52:00,32.8,0.73,NORMAL,21:52:00 | Temp: 32.80 | Current: 0.73 | Status: NORMAL
21:52:02,36.35,1.74,LOW,21:52:02 | Temp: 36.35 | Current: 1.74 | Status: LOW
21:52:04,27.87,0.21,NORMAL,21:52:04 | Temp: 27.87 | Current: 0.21 | Status: NORMAL
21:52:06,36.05,2.94,HIGH,21:52:06 | Temp: 36.05 | Current: 2.94 | Status: HIGH
21:52:08,26.5,0.7,NORMAL,21:52:08 | Temp: 26.50 | Current: 0.70 | Status: NORMAL
21:52:10,25.75,3.23,HIGH,21:52:10 | Temp: 25.75 | Current: 3.23 | Status: HIGH
21:52:12,28.38,0.52,NORMAL,21:52:12 | Temp: 28.38 | Current: 0.52 | Status: NORMAL
21:52:14,29.93,2.26,HIGH,21:52:14 | Temp: 29.93 | Current: 2.26 | Status: HIGH
21:52:16,30.68,0.53,NORMAL,21:52:16 | Temp: 30.68 | Current: 0.53 | Status: NORMAL
21:52:18,24.53,1.69,LOW,21:52:18 | Temp: 24.53 | Current: 1.69 | Status: LOW
21:52:20,28.4,1.83,LOW,21:52:20 | Temp: 28.40 | Current: 1.83 | Status: LOW
21:52:22,26.34,1.61,LOW,21:52:22 | Temp: 26.34 | Current: 1.61 | Status: LOW
21:52:24,32.82,0.68,NORMAL,21:52:24 | Temp: 32.82 | Current: 0.68 | Status: NORMAL
21:52:26,29.32,0.65,NORMAL,21:52:26 | Temp: 29.32 | Current: 0.65 | Status: NORMAL
21:52:28,36.5,3.44,HIGH,21:52:28 | Temp: 36.50 | Current: 3.44 | Status: HIGH
21:52:30,35.82,1.68,LOW,21:52:30 | Temp: 35.82 | Current: 1.68 | Status: LOW
21:52:32,33.2,1.62,LOW,21:52:32 | Temp: 33.20 | Current: 1.62 | Status: LOW
21:52:34,35.99,0.26,NORMAL,21:52:34 | Temp: 35.99 | Current: 0.26 | Status: NORMAL
21:52:36,30.19,1.74,LOW,21:52:36 | Temp: 30.19 | Current: 1.74 | Status: LOW
21:52:38,35.75,0.78,NORMAL,21:52:38 | Temp: 35.75 | Current: 0.78 | Status: NORMAL
21:52:40,35.29,0.09,NORMAL,21:52:40 | Temp: 35.29 | Current: 0.09 | Status: NORMAL
21:52:42,33.04,1.86,LOW,21:52:42 | Temp: 33.04 | Current: 1.86 | Status: LOW
21:52:44,27.96,2.31,HIGH,21:52:44 | Temp: 27.96 | Current: 2.31 | Status: HIGH
21:52:46,34.6,0.44,NORMAL,21:52:46 | Temp: 34.60 | Current: 0.44 | Status: NORMAL
21:52:48,30.44,0.5,NORMAL,21:52:48 | Temp: 30.44 | Current: 0.50 | Status: NORMAL
21:52:50,29.16,3.34,HIGH,21:52:50 | Temp: 29.16 | Current: 3.34 | Status: HIGH
21:52:52,36.23,1.5,LOW,21:52:52 | Temp: 36.23 | Current: 1.50 | Status: LOW
21:52:54,36.21,0.12,NORMAL,21:52:54 | Temp: 36.21 | Current: 0.12 | Status: NORMAL
21:52:56,38.21,0.68,NORMAL,21:52:56 | Temp: 38.21 | Current: 0.68 | Status: NORMAL
21:52:58,27.66,0.41,NORMAL,21:52:58 | Temp: 27.66 | Current: 0.41 | Status: NORMAL
21:53:00,37.48,0.64,NORMAL,21:53:00 | Temp: 37.48 | Current: 0.64 | Status: NORMAL
21:53:02,29.63,0.61,NORMAL,21:53:02 | Temp: 29.63 | Current: 0.61 | Status: NORMAL
21:53:04,25.53,0.1,NORMAL,21:53:04 | Temp: 25.53 | Current: 0.10 | Status: NORMAL
21:53:06,25.05,0.08,NORMAL,21:53:06 | Temp: 25.05 | Current: 0.08 | Status: NORMAL
21:53:08,38.09,2.02,HIGH,21:53:08 | Temp: 38.09 | Current: 2.02 | Status: HIGH
21:53:10,37.69,1.32,LOW,21:53:10 | Temp: 37.69 | Current: 1.32 | Status: LOW
21:53:12,28.41,0.44,NORMAL,21:53:12 | Temp: 28.41 | Current: 0.44 | Status: NORMAL
21:53:14,28.59,0.73,NORMAL,21:53:14 | Temp: 28.59 | Current: 0.73 | Status: NORMAL
21:53:16,36.65,1.2,LOW,21:53:16 | Temp: 36.65 | Current: 1.20 | Status: LOW
21:53:18,27.04,0.29,NORMAL,21:53:18 | Temp: 27.04 | Current: 0.29 | Status: NORMAL
21:53:20,36.94,1.89,LOW,21:53:20 | Temp: 36.94 | Current: 1.89 | Status: LOW
21:53:22,34.42,0.81,NORMAL,21:53:22 | Temp: 34.42 | Current: 0.81 | Status: NORMAL
21:53:24,26.61,0.43,NORMAL,21:53:24 | Temp: 26.61 | Current: 0.43 | Status: NORMAL
21:53:26,37.18,0.79,NORMAL,21:53:26 | Temp: 37.18 | Current: 0.79 | Status: NORMAL
21:53:28,30.28,0.34,NORMAL,21:53:28 | Temp: 30.28 | Current: 0.34 | Status: NORMAL
21:53:30,30.97,0.77,NORMAL,21:53:30 | Temp: 30.97 | Current: 0.77 | Status: NORMAL
21:53:32,29.48,0.45,NORMAL,21:53:32 | Temp: 29.48 | Current: 0.45 | Status: NORMAL
21:53:34,29.2,1.5,LOW,21:53:34 | Temp: 29.20 | Current: 1.50 | Status: LOW
21:53:36,38.25,0.62,NORMAL,21:53:36 | Temp: 38.25 | Current: 0.62 | Status: NORMAL
21:53:38,28.28,3.13,HIGH,21:53:38 | Temp: 28.28 | Current: 3.13 | Status: HIGH
21:53:40,25.84,1.36,LOW,21:53:40 | Temp: 25.84 | Current: 1.36 | Status: LOW
